,TRESY3mo,TRESY6mo,TRESY1y,TRESY2y,TRESY3y,TRESY5y,TRESY7y,TRESY10y,TRESY30y
19900605,7.96,8.03,8.09,8.34,8.38,8.42,8.51,8.47,8.46
19900606,7.96,8.02,8.09,8.34,8.4,8.43,8.51,8.46,8.44
19900607,7.96,8.01,8.07,8.34,8.38,8.41,8.49,8.46,8.43
19900608,7.96,8.03,8.07,8.33,8.38,8.42,8.51,8.46,8.44
19900611,7.99,8.07,8.09,8.36,8.41,8.43,8.52,8.48,8.45
19900612,7.99,8.05,8.09,8.36,8.42,8.44,8.52,8.48,8.45
19900613,7.93,7.99,8.02,8.27,8.32,8.35,8.44,8.4,8.39
19900614,7.92,7.98,8.0,8.24,8.29,8.32,8.41,8.38,8.36
19900615,7.95,8.04,8.05,8.33,8.37,8.41,8.49,8.46,8.43
19900618,7.93,8.06,8.11,8.39,8.42,8.45,8.53,8.5,8.47
19900619,8.0,8.07,8.15,8.41,8.45,8.47,8.55,8.51,8.48
19900620,8.03,8.07,8.16,8.43,8.46,8.51,8.59,8.55,8.52
19900621,8.03,8.08,8.14,8.41,8.44,8.48,8.57,8.52,8.5
19900622,8.04,8.05,8.12,8.4,8.43,8.46,8.55,8.51,8.49
19900625,8.05,8.09,8.19,8.45,8.48,8.53,8.62,8.58,8.56
19900626,8.07,8.12,8.19,8.41,8.49,8.51,8.59,8.56,8.53
19900627,8.05,8.1,8.14,8.37,8.43,8.47,8.56,8.52,8.49
19900628,8.0,8.03,8.07,8.31,8.37,8.41,8.51,8.47,8.45
19900629,8.0,8.02,8.05,8.24,8.32,8.35,8.46,8.43,8.41
19900702,8.0,8.03,8.06,8.25,8.32,8.35,8.46,8.43,8.41
19900703,7.96,8.0,8.01,8.2,8.28,8.32,8.44,8.4,8.4
19900705,7.92,7.98,8.02,8.22,8.31,8.34,8.45,8.42,8.42
19900706,8.01,8.08,8.14,8.32,8.41,8.44,8.56,8.51,8.51
19900709,8.06,8.14,8.19,8.39,8.46,8.49,8.6,8.57,8.55
19900710,8.07,8.17,8.21,8.4,8.48,8.5,8.61,8.57,8.56
19900711,8.05,8.15,8.18,8.4,8.46,8.49,8.58,8.57,8.56
19900712,7.94,7.98,7.98,8.2,8.31,8.37,8.49,8.5,8.5
19900713,7.85,7.91,7.89,8.13,8.25,8.32,8.43,8.45,8.46
19900716,7.86,7.91,7.89,8.15,8.26,8.31,8.43,8.44,8.46
19900717,7.87,7.91,7.88,8.13,8.23,8.3,8.42,8.44,8.46
19900718,7.8,7.88,7.87,8.13,8.24,8.34,8.47,8.5,8.55
19900719,7.79,7.85,7.87,8.13,8.23,8.33,8.47,8.51,8.56
19900720,7.79,7.84,7.84,8.08,8.18,8.28,8.43,8.48,8.54
19900723,7.73,7.78,7.81,8.05,8.17,8.28,8.43,8.48,8.54
19900724,7.78,7.82,7.88,8.12,8.25,8.35,8.48,8.53,8.59
19900725,7.81,7.85,7.87,8.08,8.24,8.31,8.44,8.49,8.55
19900726,7.83,7.86,7.9,8.08,8.24,8.31,8.45,8.49,8.54
19900727,7.77,7.79,7.8,8.0,8.15,8.25,8.36,8.42,8.48
19900730,7.74,7.74,7.75,7.93,8.05,8.14,8.28,8.34,8.4
19900731,7.74,7.72,7.72,7.91,8.04,8.13,8.28,8.36,8.42
19900801,7.67,7.65,7.63,7.85,7.96,8.06,8.2,8.29,8.36
19900802,7.68,7.67,7.7,7.9,8.03,8.15,8.3,8.41,8.46
19900803,7.52,7.55,7.56,7.79,7.98,8.11,8.32,8.43,8.55
19900806,7.54,7.59,7.63,7.9,8.11,8.29,8.55,8.71,8.82
19900807,7.61,7.73,7.75,8.04,8.19,8.41,8.65,8.78,8.86
19900808,7.62,7.69,7.73,8.02,8.19,8.43,8.65,8.77,8.87
19900809,7.66,7.69,7.72,7.99,8.13,8.33,8.55,8.66,8.75
19900810,7.64,7.68,7.67,7.95,8.12,8.35,8.58,8.68,8.79
19900813,7.66,7.7,7.65,7.94,8.08,8.36,8.59,8.71,8.83
