,L,U
19820927,10.25,10.25
19820928,10.25,10.25
19820929,10.25,10.25
19820930,10.25,10.25
19821001,10.0,10.0
19821002,10.0,10.0
19821003,10.0,10.0
19821004,10.0,10.0
19821005,10.0,10.0
19821006,10.0,10.0
19821007,9.5,9.5
19821008,9.5,9.5
19821009,9.5,9.5
19821010,9.5,9.5
19821011,9.5,9.5
19821012,9.5,9.5
19821013,9.5,9.5
19821014,9.5,9.5
19821015,9.5,9.5
19821016,9.5,9.5
19821017,9.5,9.5
19821018,9.5,9.5
19821019,9.5,9.5
19821020,9.5,9.5
19821021,9.5,9.5
19821022,9.5,9.5
19821023,9.5,9.5
19821024,9.5,9.5
19821025,9.5,9.5
19821026,9.5,9.5
19821027,9.5,9.5
19821028,9.5,9.5
19821029,9.5,9.5
19821030,9.5,9.5
19821031,9.5,9.5
19821101,9.5,9.5
19821102,9.5,9.5
19821103,9.5,9.5
19821104,9.5,9.5
19821105,9.5,9.5
19821106,9.5,9.5
19821107,9.5,9.5
19821108,9.5,9.5
19821109,9.5,9.5
19821110,9.5,9.5
19821111,9.5,9.5
19821112,9.5,9.5
19821113,9.5,9.5
19821114,9.5,9.5
19821115,9.5,9.5
19821116,9.5,9.5
19821117,9.5,9.5
19821118,9.5,9.5
19821119,9.0,9.0
19821120,9.0,9.0
19821121,9.0,9.0
19821122,9.0,9.0
19821123,9.0,9.0
19821124,9.0,9.0
19821125,9.0,9.0
19821126,9.0,9.0
19821127,9.0,9.0
19821128,9.0,9.0
19821129,9.0,9.0
19821130,9.0,9.0
19821201,9.0,9.0
19821202,9.0,9.0
19821203,9.0,9.0
19821204,9.0,9.0
19821205,9.0,9.0
19821206,9.0,9.0
19821207,9.0,9.0
19821208,9.0,9.0
19821209,9.0,9.0
19821210,9.0,9.0
19821211,9.0,9.0
19821212,9.0,9.0
19821213,9.0,9.0
19821214,8.5,8.5
19821215,8.5,8.5
19821216,8.5,8.5
19821217,8.5,8.5
19821218,8.5,8.5
19821219,8.5,8.5
19821220,8.5,8.5
19821221,8.5,8.5
19821222,8.5,8.5
19821223,8.5,8.5
19821224,8.5,8.5
19821225,8.5,8.5
19821226,8.5,8.5
19821227,8.5,8.5
19821228,8.5,8.5
19821229,8.5,8.5
19821230,8.5,8.5
19821231,8.5,8.5
19830101,8.5,8.5
19830102,8.5,8.5
19830103,8.5,8.5
19830104,8.5,8.5
19830105,8.5,8.5
19830106,8.5,8.5
19830107,8.5,8.5
19830108,8.5,8.5
19830109,8.5,8.5
19830110,8.5,8.5
19830111,8.5,8.5
19830112,8.5,8.5
19830113,8.5,8.5
19830114,8.5,8.5
19830115,8.5,8.5
19830116,8.5,8.5
19830117,8.5,8.5
19830118,8.5,8.5
19830119,8.5,8.5
19830120,8.5,8.5
19830121,8.5,8.5
19830122,8.5,8.5
19830123,8.5,8.5
19830124,8.5,8.5
19830125,8.5,8.5
19830126,8.5,8.5
19830127,8.5,8.5
19830128,8.5,8.5
19830129,8.5,8.5
19830130,8.5,8.5
19830131,8.5,8.5
19830201,8.5,8.5
19830202,8.5,8.5
19830203,8.5,8.5
19830204,8.5,8.5
19830205,8.5,8.5
19830206,8.5,8.5
19830207,8.5,8.5
19830208,8.5,8.5
19830209,8.5,8.5
19830210,8.5,8.5
19830211,8.5,8.5
19830212,8.5,8.5
19830213,8.5,8.5
19830214,8.5,8.5
19830215,8.5,8.5
19830216,8.5,8.5
19830217,8.5,8.5
19830218,8.5,8.5
19830219,8.5,8.5
19830220,8.5,8.5
19830221,8.5,8.5
19830222,8.5,8.5
19830223,8.5,8.5
19830224,8.5,8.5
19830225,8.5,8.5
19830226,8.5,8.5
19830227,8.5,8.5
19830228,8.5,8.5
19830301,8.5,8.5
19830302,8.5,8.5
19830303,8.5,8.5
19830304,8.5,8.5
19830305,8.5,8.5
19830306,8.5,8.5
19830307,8.5,8.5
19830308,8.5,8.5
19830309,8.5,8.5
19830310,8.5,8.5
19830311,8.5,8.5
19830312,8.5,8.5
19830313,8.5,8.5
19830314,8.5,8.5
19830315,8.5,8.5
19830316,8.5,8.5
19830317,8.5,8.5
19830318,8.5,8.5
19830319,8.5,8.5
19830320,8.5,8.5
19830321,8.5,8.5
19830322,8.5,8.5
19830323,8.5,8.5
19830324,8.5,8.5
19830325,8.5,8.5
19830326,8.5,8.5
19830327,8.5,8.5
19830328,8.5,8.5
19830329,8.5,8.5
19830330,8.5,8.5
19830331,8.625,8.625
19830401,8.625,8.625
19830402,8.625,8.625
19830403,8.625,8.625
19830404,8.625,8.625
19830405,8.625,8.625
19830406,8.625,8.625
19830407,8.625,8.625
19830408,8.625,8.625
19830409,8.625,8.625
19830410,8.625,8.625
19830411,8.625,8.625
19830412,8.625,8.625
19830413,8.625,8.625
19830414,8.625,8.625
19830415,8.625,8.625
19830416,8.625,8.625
19830417,8.625,8.625
19830418,8.625,8.625
19830419,8.625,8.625
19830420,8.625,8.625
19830421,8.625,8.625
19830422,8.625,8.625
19830423,8.625,8.625
19830424,8.625,8.625
19830425,8.625,8.625
19830426,8.625,8.625
19830427,8.625,8.625
19830428,8.625,8.625
19830429,8.625,8.625
19830430,8.625,8.625
