,Date,Close,Open,High,Low,Increase
0,20220412,2.822,2.809,2.832,2.809,1.73%
1,20220411,2.774,2.723,2.793,2.711,1.90%
2,20220410,2.723,2.719,2.723,2.719,0.70%
3,20220408,2.704,2.647,2.73,2.624,1.44%
4,20220407,2.665,2.594,2.673,2.555,2.61%
5,20220406,2.598,2.566,2.659,2.566,1.69%
6,20220405,2.554,2.393,2.567,2.384,6.73%
7,20220404,2.393,2.408,2.434,2.369,-0.30%
8,20220403,2.401,2.406,2.406,2.401,0.46%
9,20220401,2.389,2.352,2.456,2.352,1.89%
10,20220331,2.345,2.345,2.365,2.309,-0.54%
11,20220330,2.358,2.4,2.435,2.334,-1.67%
12,20220329,2.398,2.442,2.535,2.38,-2.75%
13,20220328,2.466,2.473,2.557,2.414,-0.22%
14,20220327,2.471,2.477,2.477,2.471,-0.67%
15,20220325,2.488,2.372,2.503,2.339,4.98%
16,20220324,2.37,2.306,2.397,2.304,3.50%
17,20220323,2.29,2.392,2.417,2.286,-3.82%
18,20220322,2.381,2.293,2.392,2.293,3.65%
19,20220321,2.297,2.149,2.32,2.148,6.68%
20,20220320,2.153,2.153,2.153,2.153,0.00%
21,20220318,2.153,2.158,2.19,2.133,-0.65%
22,20220317,2.167,2.185,2.214,2.106,-1.14%
23,20220316,2.192,2.149,2.246,2.135,2.00%
24,20220315,2.149,2.135,2.169,2.078,0.34%
25,20220314,2.142,2.034,2.147,2.025,5.04%
26,20220313,2.039,2.034,2.039,2.034,2.11%
27,20220311,1.997,1.99,2.022,1.96,0.18%
28,20220310,1.993,1.951,2.021,1.911,2.15%
29,20220309,1.951,1.865,1.957,1.837,6.03%
30,20220308,1.84,1.773,1.878,1.758,3.58%
31,20220307,1.777,1.683,1.806,1.668,5.57%
32,20220306,1.683,1.695,1.695,1.683,-3.13%
33,20220304,1.737,1.854,1.854,1.698,-5.60%
34,20220303,1.84,1.852,1.897,1.83,-2.02%
35,20220302,1.878,1.741,1.91,1.7,9.49%
36,20220301,1.716,1.84,1.866,1.682,-5.82%
37,20220228,1.822,1.892,1.927,1.816,-3.82%
38,20220227,1.894,1.903,1.906,1.894,-3.88%
39,20220225,1.97,1.972,2.016,1.934,0.00%
40,20220224,1.97,1.97,1.981,1.846,-1.40%
41,20220223,1.998,1.949,2.0,1.949,2.78%
42,20220222,1.944,1.875,1.96,1.846,3.78%
43,20220221,1.873,1.868,1.873,1.868,-2.78%
44,20220218,1.927,1.954,1.995,1.916,-2.11%
45,20220217,1.968,2.024,2.035,1.953,-3.51%
46,20220216,2.04,2.04,2.065,2.007,-0.17%
47,20220215,2.043,1.984,2.056,1.968,2.90%
48,20220214,1.986,1.967,2.026,1.903,3.53%
49,20220211,1.918,2.033,2.063,1.913,-6.13%
50,20220210,2.043,1.939,2.056,1.923,5.04%
51,20220209,1.945,1.954,1.958,1.909,-1.01%
52,20220208,1.965,1.921,1.97,1.921,2.37%
53,20220207,1.919,1.908,1.939,1.896,0.48%
54,20220206,1.91,1.918,1.918,1.91,-0.28%
55,20220204,1.916,1.834,1.936,1.809,4.34%
56,20220203,1.836,1.759,1.847,1.757,3.64%
57,20220202,1.771,1.798,1.811,1.743,-1.29%
58,20220201,1.795,1.787,1.82,1.739,0.61%
59,20220131,1.784,1.789,1.816,1.77,-0.39%
60,20220130,1.791,1.787,1.791,1.787,0.70%
61,20220128,1.778,1.808,1.854,1.771,-1.36%
62,20220127,1.803,1.851,1.862,1.782,-3.72%
63,20220126,1.873,1.778,1.88,1.765,5.44%
64,20220125,1.776,1.769,1.797,1.728,0.00%
65,20220124,1.776,1.772,1.785,1.707,0.20%
66,20220123,1.772,1.767,1.772,1.767,0.10%
67,20220121,1.77,1.791,1.801,1.733,-2.24%
68,20220120,1.811,1.863,1.87,1.804,-2.31%
69,20220119,1.854,1.873,1.902,1.822,-1.14%
70,20220118,1.875,1.807,1.881,1.807,3.67%
71,20220117,1.809,1.813,1.813,1.809,0.89%
72,20220114,1.793,1.72,1.795,1.706,5.43%
73,20220113,1.701,1.748,1.76,1.694,-2.92%
74,20220112,1.752,1.743,1.753,1.711,0.31%
75,20220111,1.746,1.769,1.785,1.737,-0.50%
76,20220110,1.755,1.767,1.808,1.75,-0.59%
77,20220109,1.765,1.765,1.765,1.765,0.00%
78,20220107,1.765,1.725,1.801,1.711,2.16%
79,20220106,1.728,1.7,1.753,1.686,1.66%
80,20220105,1.7,1.656,1.712,1.64,3.09%
81,20220104,1.649,1.617,1.686,1.614,0.75%
82,20220103,1.637,1.531,1.642,1.529,8.26%
83,20220102,1.512,1.512,1.512,1.512,0.00%
84,20211231,1.512,1.512,1.526,1.491,0.35%
85,20211230,1.507,1.551,1.553,1.501,-3.21%
86,20211229,1.556,1.477,1.56,1.47,4.87%
87,20211228,1.484,1.479,1.491,1.455,0.47%
