,Date,Close,Open,High,Low,Increase
0,20220412,0.8204,0.8204,0.8204,0.8204,16.20%
1,20220411,0.706,0.736,0.736,0.701,1.12%
2,20220410,0.6982,0.6957,0.6982,0.6957,0.03%
3,20220408,0.698,0.711,0.724,0.688,2.20%
4,20220407,0.683,0.683,0.714,0.675,-0.73%
5,20220406,0.688,0.719,0.719,0.675,0.00%
6,20220405,0.688,0.691,0.714,0.68,21.55%
7,20220404,0.566,0.528,0.568,0.528,7.75%
8,20220403,0.5253,0.5533,0.5533,0.5253,-0.49%
9,20220401,0.5279,0.533,0.556,0.52,1.52%
10,20220331,0.52,0.543,0.566,0.515,-3.35%
11,20220330,0.538,0.602,0.602,0.53,-6.27%
12,20220329,0.574,0.647,0.686,0.571,3.24%
13,20220328,0.556,0.518,0.581,0.51,6.35%
14,20220327,0.5228,0.5228,0.5228,0.5228,-2.83%
15,20220325,0.538,0.52,0.568,0.52,3.46%
16,20220324,0.52,0.5,0.543,0.497,4.63%
17,20220323,0.497,0.558,0.569,0.482,-7.62%
18,20220322,0.538,0.563,0.576,0.536,9.35%
19,20220321,0.492,0.416,0.51,0.396,20.44%
20,20220320,0.4085,0.4085,0.4085,0.4085,-1.33%
21,20220318,0.414,0.408,0.431,0.391,4.55%
22,20220317,0.396,0.434,0.477,0.391,-13.73%
23,20220316,0.459,0.49,0.49,0.431,-1.08%
24,20220315,0.464,0.472,0.49,0.462,9.43%
25,20220314,0.424,0.383,0.429,0.383,9.96%
26,20220313,0.3856,0.3856,0.3856,0.3856,-2.63%
27,20220311,0.396,0.381,0.416,0.378,0.00%
28,20220310,0.396,0.388,0.429,0.381,3.94%
29,20220309,0.381,0.398,0.398,0.37,1.60%
30,20220308,0.375,0.391,0.408,0.365,10.29%
31,20220307,0.34,0.332,0.37,0.325,3.09%
32,20220306,0.3298,0.3298,0.3298,0.3298,-1.55%
33,20220304,0.335,0.375,0.375,0.327,-8.22%
34,20220303,0.365,0.345,0.386,0.335,8.96%
35,20220302,0.335,0.355,0.375,0.332,0.90%
36,20220301,0.332,0.408,0.408,0.32,3.11%
37,20220228,0.322,0.343,0.368,0.315,-3.85%
38,20220227,0.3349,0.3323,0.3349,0.3323,-3.76%
39,20220225,0.348,0.34,0.363,0.327,8.07%
40,20220224,0.322,0.391,0.398,0.307,-9.30%
41,20220223,0.355,0.386,0.411,0.355,0.00%
42,20220222,0.355,0.36,0.37,0.345,2.90%
43,20220221,0.345,0.3602,0.3602,0.345,-3.63%
44,20220218,0.358,0.37,0.411,0.345,-1.92%
45,20220217,0.365,0.421,0.439,0.36,-4.70%
46,20220216,0.383,0.439,0.439,0.381,-7.93%
47,20220215,0.416,0.457,0.467,0.414,6.39%
48,20220214,0.391,0.373,0.439,0.373,4.83%
49,20220211,0.373,0.449,0.469,0.353,-8.80%
50,20220210,0.409,0.284,0.434,0.282,46.59%
51,20220209,0.279,0.292,0.292,0.279,-1.76%
52,20220208,0.284,0.292,0.292,0.276,27.35%
53,20220207,0.223,0.238,0.254,0.218,-5.47%
54,20220206,0.2359,0.2359,0.2359,0.2359,-0.88%
55,20220204,0.238,0.208,0.246,0.208,16.10%
56,20220203,0.205,0.208,0.216,0.198,6.22%
57,20220202,0.193,0.208,0.213,0.19,-10.65%
58,20220201,0.216,0.246,0.251,0.208,16.76%
59,20220131,0.185,0.2,0.211,0.183,-6.47%
60,20220130,0.1978,0.1953,0.1978,0.1953,4.11%
61,20220128,0.19,0.218,0.223,0.188,-7.32%
62,20220127,0.205,0.236,0.236,0.195,2.50%
63,20220126,0.2,0.205,0.213,0.185,3.63%
64,20220125,0.193,0.205,0.205,0.193,13.53%
65,20220124,0.17,0.175,0.205,0.167,-4.23%
66,20220123,0.1775,0.1724,0.1775,0.1724,4.41%
67,20220121,0.17,0.183,0.211,0.167,-5.56%
68,20220120,0.18,0.172,0.203,0.17,4.65%
69,20220119,0.172,0.193,0.193,0.172,21.13%
70,20220118,0.142,0.142,0.17,0.132,1.79%
71,20220117,0.1395,0.1395,0.1395,0.1395,8.14%
72,20220114,0.129,0.129,0.15,0.122,5.74%
73,20220113,0.122,0.132,0.14,0.117,0.00%
74,20220112,0.122,0.14,0.14,0.122,-3.94%
75,20220111,0.127,0.122,0.134,0.119,28.28%
76,20220110,0.099,0.109,0.112,0.096,2.80%
77,20220109,0.0963,0.0963,0.0963,0.0963,0.31%
78,20220107,0.096,0.099,0.122,0.094,-4.95%
79,20220106,0.101,0.094,0.117,0.091,10.99%
80,20220105,0.091,0.089,0.101,0.086,5.81%
81,20220104,0.086,0.091,0.675,0.086,36.51%
82,20220103,0.063,0.056,0.076,0.048,12.90%
83,20220102,0.0558,0.0558,0.0558,0.0558,5.28%
84,20211231,0.053,0.051,0.068,0.051,15.22%
85,20211230,0.046,0.061,0.089,0.043,-9.80%
86,20211229,0.051,0.091,0.091,0.046,-16.39%
87,20211228,0.061,0.091,0.091,0.061,8.93%
88,20211227,0.056,0.084,0.084,0.053,-26.41%
89,20211226,0.0761,0.0761,0.0761,0.0761,7.18%
90,20211223,0.071,0.076,0.091,0.068,0.00%
91,20211222,0.071,0.089,0.089,0.066,0.00%
92,20211221,0.071,0.091,0.091,0.071,-6.58%
93,20211220,0.076,0.056,0.066,0.043,49.90%
94,20211219,0.0507,0.0507,0.0507,0.0507,-0.59%
95,20211217,0.051,0.056,0.081,0.046,10.87%
96,20211216,0.046,0.056,0.066,0.043,-9.80%
97,20211215,0.051,0.061,0.066,0.048,-12.07%
98,20211214,0.058,0.066,0.066,0.056,3.57%
99,20211213,0.056,0.063,0.073,0.053,-7.89%
100,20211212,0.0608,0.0608,0.0608,0.0608,-3.49%
101,20211210,0.063,0.063,0.071,0.056,0.00%
102,20211209,0.063,0.068,0.084,0.058,-4.55%
103,20211208,0.066,0.068,0.076,0.061,4.76%
104,20211207,0.063,0.063,0.071,0.056,18.87%
105,20211206,0.053,0.061,0.066,0.051,-5.02%
106,20211205,0.0558,0.0482,0.0558,0.0482,4.89%
107,20211203,0.0532,0.058,0.071,0.048,0.38%
108,20211202,0.053,0.063,0.071,0.046,-5.36%
109,20211201,0.056,0.058,0.058,0.051,5.66%
110,20211130,0.053,0.053,0.058,0.051,10.42%
111,20211129,0.048,0.058,0.071,0.043,-13.98%
