,Date,Close,Open,High,Low,Increase
0,20220408,0.672,0.672,0.672,0.672,-2.04%
1,20220407,0.686,0.681,0.686,0.681,-0.58%
2,20220406,0.69,0.69,0.69,0.69,0.44%
3,20220405,0.687,0.687,0.687,0.687,7.34%
4,20220404,0.64,0.605,0.64,0.605,3.56%
5,20220401,0.618,0.618,0.618,0.618,-2.83%
6,20220331,0.636,0.636,0.636,0.636,-0.16%
7,20220330,0.637,0.637,0.637,0.637,1.11%
8,20220329,0.63,0.642,0.642,0.63,2.77%
9,20220328,0.613,0.592,0.613,0.592,0.66%
10,20220325,0.609,0.609,0.609,0.609,-4.84%
11,20220324,0.64,0.636,0.64,0.636,-0.16%
12,20220323,0.641,0.694,0.694,0.637,-8.30%
13,20220322,0.699,0.687,0.699,0.687,40.93%
14,20220321,0.496,0.5,0.64,0.496,-0.80%
15,20220318,0.5,0.571,0.571,0.5,-15.82%
16,20220317,0.594,0.594,0.594,0.594,-1.00%
17,20220316,0.6,0.608,0.608,0.6,-2.12%
18,20220315,0.613,0.56,0.613,0.56,-5.40%
19,20220314,0.648,0.509,0.648,0.509,2.05%
20,20220311,0.635,0.635,0.635,0.635,-0.78%
21,20220310,0.64,0.64,0.64,0.64,36.75%
22,20220309,0.468,0.468,0.468,0.468,-26.65%
23,20220308,0.638,0.65,0.65,0.638,-3.48%
24,20220307,0.661,0.661,0.661,0.661,2.80%
25,20220304,0.643,0.643,0.643,0.643,-2.58%
26,20220303,0.66,0.715,0.727,0.66,1.69%
27,20220302,0.649,0.641,0.649,0.641,5.19%
28,20220301,0.617,0.617,0.617,0.617,6.56%
29,20220228,0.579,0.553,0.579,0.553,6.83%
30,20220225,0.542,0.542,0.542,0.542,1.12%
31,20220224,0.536,0.552,0.552,0.536,-3.25%
32,20220223,0.554,0.567,0.567,0.554,-9.03%
33,20220222,0.609,0.601,0.609,0.601,-4.09%
34,20220221,0.635,0.653,0.653,0.635,-5.51%
35,20220218,0.672,0.664,0.672,0.664,-1.32%
36,20220217,0.681,0.681,0.681,0.681,2.41%
37,20220216,0.665,0.682,0.682,0.665,-1.92%
38,20220215,0.678,0.678,0.678,0.678,10.60%
39,20220214,0.613,0.64,0.64,0.592,-6.41%
40,20220211,0.655,0.584,0.655,0.584,11.77%
41,20220210,0.586,0.577,0.586,0.577,0.51%
42,20220209,0.583,0.583,0.583,0.583,2.28%
43,20220208,0.57,0.579,0.579,0.57,-2.56%
44,20220207,0.585,0.585,0.585,0.542,-2.17%
45,20220204,0.598,0.515,0.598,0.515,22.29%
46,20220203,0.489,0.386,0.489,0.386,28.01%
47,20220202,0.382,0.373,0.382,0.373,7.00%
48,20220201,0.357,0.377,0.377,0.357,0.00%
49,20220131,0.357,0.335,0.357,0.335,14.79%
50,20220128,0.311,0.306,0.306,0.306,-5.18%
51,20220127,0.328,0.303,0.328,0.303,14.29%
52,20220126,0.287,0.279,0.287,0.279,3.99%
53,20220125,0.276,0.276,0.276,0.276,-1.08%
54,20220124,0.279,0.266,0.279,0.266,17.72%
55,20220121,0.237,0.245,0.245,0.237,-0.42%
56,20220120,0.238,0.238,0.238,0.238,-9.85%
57,20220119,0.264,0.239,0.264,0.239,13.30%
58,20220118,0.233,0.233,0.233,0.233,-2.10%
59,20220117,0.238,0.238,0.238,0.238,18.41%
60,20220114,0.201,0.193,0.201,0.193,1.01%
61,20220113,0.199,0.199,0.199,0.199,-1.00%
62,20220112,0.201,0.193,0.201,0.193,3.08%
63,20220111,0.195,0.195,0.195,0.195,2.63%
64,20220110,0.19,0.176,0.19,0.176,18.75%
65,20220107,0.16,0.16,0.16,0.16,-17.53%
66,20220106,0.194,0.189,0.194,0.189,50.39%
67,20220105,0.129,0.401,0.401,0.129,-71.52%
68,20220104,0.453,0.343,0.453,0.343,144.86%
69,20220103,0.185,0.181,0.189,0.181,-2.12%
70,20211231,0.189,0.181,0.189,0.181,3.28%
71,20211230,0.183,0.178,0.183,0.178,-2.14%
72,20211229,0.187,0.049,0.049,0.049,35.51%
73,20211228,0.138,0.138,0.138,0.138,0.00%
74,20211227,0.138,0.138,0.138,0.138,-28.50%
75,20211224,0.193,0.193,0.193,0.193,5.46%
76,20211223,0.183,0.183,0.183,0.183,53.78%
77,20211222,0.119,0.193,0.193,0.119,-36.36%
78,20211221,0.187,0.191,0.191,0.187,-43.50%
79,20211220,0.331,0.331,0.331,0.331,3.76%
80,20211217,0.319,0.197,0.319,0.197,60.30%
81,20211216,0.199,0.112,0.199,0.112,38.19%
82,20211215,0.144,0.135,0.144,0.135,10.77%
83,20211214,0.13,0.13,0.13,0.13,19.27%
84,20211213,0.109,0.1,0.109,0.1,12.37%
85,20211210,0.097,0.101,0.101,0.097,-3.00%
86,20211209,0.1,0.1,0.1,0.1,11.11%
87,20211208,0.09,0.09,0.09,0.09,1.12%
88,20211207,0.089,0.081,0.089,0.081,106.98%
89,20211206,0.043,0.052,0.052,0.043,-42.67%
90,20211203,0.075,0.08,0.08,0.075,20.97%
91,20211202,0.062,0.071,0.071,0.062,-39.81%
92,20211201,0.103,0.09,0.103,0.09,1.98%
93,20211130,0.101,0.101,0.101,0.101,46.38%
94,20211129,0.069,0.069,0.069,0.069,-2.82%
95,20211126,0.071,0.071,0.071,0.071,184.00%
96,20211125,0.025,0.029,0.029,0.025,-32.43%
97,20211124,0.037,0.037,0.037,0.037,-66.06%
98,20211123,0.109,0.105,0.109,0.105,94.64%
99,20211122,0.056,0.056,0.056,0.056,-5.08%
100,20211119,0.059,0.054,0.059,0.054,9.26%
101,20211118,0.054,0.054,0.054,0.054,-30.77%
102,20211117,0.078,0.074,0.078,0.074,6.85%
103,20211116,0.073,0.073,0.073,0.073,-33.03%
104,20211115,0.109,0.109,0.109,0.109,-3.54%
105,20211112,0.113,0.122,0.122,0.113,-8.87%
106,20211111,0.124,0.066,0.124,0.066,67.57%
107,20211110,0.074,0.074,0.074,0.074,-47.52%
108,20211109,0.141,0.141,0.141,0.141,1.44%
109,20211108,0.139,0.013,0.139,0.013,1637.50%
110,20211105,0.008,0.008,0.008,0.008,-93.98%
111,20211104,0.133,0.133,0.133,0.133,-1.48%
112,20211103,0.135,0.135,0.135,0.135,0.75%
113,20211102,0.134,0.134,0.134,0.134,-9.46%
114,20211101,0.148,0.135,0.135,0.135,13.85%
115,20211029,0.13,0.13,0.13,0.13,-17.72%
116,20211028,0.158,0.158,0.158,0.158,42.34%
117,20211027,0.111,0.111,0.111,0.111,-2.63%
118,20211026,0.114,0.114,0.114,0.114,-34.48%
119,20211025,0.174,0.165,0.174,0.165,42.62%
120,20211022,0.122,0.139,0.139,0.122,-10.95%
121,20211021,0.137,0.137,0.137,0.137,1.48%
122,20211020,0.135,0.135,0.135,0.135,14.41%
123,20211019,0.118,0.122,0.122,0.118,-15.11%
124,20211018,0.139,0.056,0.139,0.056,157.41%
125,20211015,0.054,0.054,0.054,0.054,-18.18%
126,20211014,0.066,0.058,0.066,0.058,0.00%
127,20211013,0.066,0.057,0.066,0.057,15.79%
128,20211012,0.057,0.057,0.057,0.057,-36.67%
129,20211011,0.09,0.069,0.09,0.069,26.76%
130,20211008,0.071,0.066,0.071,0.066,7.58%
131,20211007,0.066,0.078,0.078,0.066,-39.45%
132,20211006,0.109,0.093,0.109,0.093,18.48%
133,20211005,0.092,0.092,0.092,0.092,21.05%
134,20211004,0.076,0.076,0.076,0.076,-7.32%
135,20211001,0.082,0.078,0.082,0.078,6.49%
136,20210930,0.077,0.069,0.077,0.069,28.33%
137,20210929,0.06,0.068,0.068,0.06,-11.76%
138,20210928,0.068,0.068,0.068,0.068,23.64%
139,20210927,0.055,0.055,0.055,0.055,-27.63%
140,20210924,0.076,0.05,0.076,0.05,52.00%
141,20210923,0.05,0.05,0.05,0.05,-5.66%
142,20210922,0.053,0.053,0.053,0.053,0.00%
143,20210921,0.053,0.049,0.053,0.049,23.26%
144,20210920,0.043,0.043,0.043,0.043,-35.82%
145,20210917,0.067,0.067,0.067,0.067,15.52%
146,20210916,0.058,0.058,0.058,0.058,1.75%
147,20210915,0.057,0.057,0.057,0.057,0.00%
148,20210914,0.057,0.057,0.057,0.057,-5.00%
149,20210913,0.06,0.052,0.056,0.052,11.11%
150,20210910,0.054,0.054,0.054,0.054,-18.18%
151,20210909,0.066,0.062,0.066,0.062,6.45%
152,20210908,0.062,0.062,0.062,0.062,8.77%
