,Date,Close,Open,High,Low,Increase
0,20091231,2.785,2.785,2.785,2.785,-1.59%
1,20091230,2.83,2.83,2.83,2.83,-1.01%
2,20091229,2.859,2.859,2.859,2.859,2.51%
3,20091224,2.789,2.789,2.789,2.789,0.22%
4,20091223,2.783,2.783,2.783,2.783,3.11%
5,20091222,2.699,2.699,2.699,2.699,2.00%
6,20091221,2.646,2.646,2.646,2.646,2.68%
7,20091218,2.577,2.577,2.577,2.577,-1.94%
8,20091217,2.628,2.628,2.628,2.628,-2.30%
9,20091216,2.69,2.69,2.69,2.69,-0.52%
10,20091215,2.704,2.704,2.704,2.704,2.62%
11,20091214,2.635,2.635,2.635,2.635,-1.57%
12,20091211,2.677,2.677,2.677,2.677,1.36%
13,20091210,2.641,2.641,2.641,2.641,3.98%
14,20091209,2.54,2.54,2.54,2.54,-1.74%
15,20091208,2.585,2.585,2.585,2.585,-0.88%
16,20091207,2.608,2.608,2.608,2.608,-0.80%
17,20091204,2.629,2.629,2.629,2.629,1.98%
18,20091203,2.578,2.578,2.578,2.578,-0.23%
19,20091202,2.584,2.584,2.584,2.584,0.39%
20,20091201,2.574,2.574,2.574,2.574,-1.08%
21,20091130,2.602,2.602,2.602,2.602,-0.27%
22,20091127,2.609,2.609,2.609,2.609,0.89%
23,20091126,2.586,2.586,2.586,2.586,-1.64%
24,20091125,2.629,2.629,2.629,2.629,-0.72%
25,20091124,2.648,2.648,2.648,2.648,0.53%
26,20091123,2.634,2.634,2.634,2.634,0.96%
27,20091120,2.609,2.609,2.609,2.609,0.12%
28,20091119,2.606,2.606,2.606,2.606,-1.21%
29,20091118,2.638,2.638,2.638,2.638,0.50%
30,20091117,2.625,2.625,2.625,2.625,-2.71%
31,20091116,2.698,2.698,2.698,2.698,-1.28%
32,20091113,2.733,2.733,2.733,2.733,0.11%
33,20091112,2.73,2.73,2.73,2.73,-1.19%
34,20091111,2.763,2.763,2.763,2.763,-2.26%
35,20091110,2.827,2.827,2.827,2.827,-0.74%
36,20091109,2.848,2.848,2.848,2.848,-2.50%
37,20091106,2.921,2.921,2.921,2.921,0.03%
38,20091105,2.92,2.92,2.92,2.92,0.97%
39,20091104,2.892,2.892,2.892,2.892,2.12%
40,20091103,2.832,2.832,2.832,2.832,1.58%
41,20091102,2.788,2.788,2.788,2.788,2.50%
42,20091030,2.72,2.72,2.72,2.72,-2.30%
43,20091029,2.784,2.784,2.784,2.784,3.00%
44,20091028,2.703,2.703,2.703,2.703,0.00%
45,20091027,2.703,2.703,2.703,2.703,-2.24%
46,20091026,2.765,2.765,2.765,2.765,0.33%
47,20091023,2.756,2.756,2.756,2.756,-1.43%
48,20091022,2.796,2.796,2.796,2.796,1.08%
49,20091021,2.766,2.766,2.766,2.766,6.88%
50,20091020,2.588,2.588,2.588,2.588,-2.04%
51,20091019,2.642,2.642,2.642,2.642,-0.83%
52,20091016,2.664,2.664,2.664,2.664,1.68%
53,20091015,2.62,2.62,2.62,2.62,2.54%
54,20091014,2.555,2.555,2.555,2.555,4.12%
55,20091013,2.454,2.454,2.454,2.454,0.53%
56,20091012,2.441,2.441,2.441,2.441,-2.90%
57,20091009,2.514,2.514,2.514,2.514,4.01%
58,20091008,2.417,2.417,2.417,2.417,-0.58%
59,20091007,2.431,2.431,2.431,2.431,-1.86%
60,20091006,2.477,2.477,2.477,2.477,0.32%
61,20091005,2.469,2.469,2.469,2.469,-0.68%
62,20091002,2.486,2.486,2.486,2.486,-0.72%
63,20091001,2.504,2.504,2.504,2.504,-5.08%
64,20090930,2.638,2.638,2.638,2.638,-0.49%
65,20090929,2.651,2.651,2.651,2.651,1.11%
66,20090928,2.622,2.622,2.622,2.622,1.00%
67,20090925,2.596,2.596,2.596,2.596,-3.31%
68,20090924,2.685,2.685,2.685,2.685,-1.97%
69,20090923,2.739,2.739,2.739,2.739,-0.18%
70,20090922,2.744,2.744,2.744,2.744,0.26%
71,20090921,2.737,2.737,2.737,2.737,0.11%
72,20090918,2.734,2.734,2.734,2.734,1.15%
73,20090917,2.703,2.703,2.703,2.703,1.12%
74,20090916,2.673,2.673,2.673,2.673,2.77%
75,20090915,2.601,2.601,2.601,2.601,-1.55%
76,20090914,2.642,2.642,2.642,2.642,0.19%
77,20090911,2.637,2.637,2.637,2.637,-1.49%
78,20090910,2.677,2.677,2.677,2.677,-2.97%
79,20090909,2.759,2.759,2.759,2.759,2.22%
80,20090908,2.699,2.699,2.699,2.699,1.54%
81,20090907,2.658,2.658,2.658,2.658,-0.45%
82,20090904,2.67,2.67,2.67,2.67,0.91%
83,20090903,2.646,2.646,2.646,2.646,2.32%
84,20090902,2.586,2.586,2.586,2.586,-0.58%
85,20090901,2.601,2.601,2.601,2.601,0.58%
86,20090828,2.586,2.586,2.586,2.586,0.00%
87,20090827,2.586,2.586,2.586,2.586,0.39%
88,20090826,2.576,2.576,2.576,2.576,0.31%
89,20090825,2.568,2.568,2.568,2.568,-5.27%
90,20090824,2.711,2.711,2.711,2.711,-0.84%
91,20090821,2.734,2.734,2.734,2.734,0.37%
92,20090820,2.724,2.724,2.724,2.724,-1.13%
93,20090819,2.755,2.755,2.755,2.755,-3.30%
94,20090818,2.849,2.849,2.849,2.849,1.82%
95,20090817,2.798,2.798,2.798,2.798,-2.44%
96,20090814,2.868,2.868,2.868,2.868,-2.78%
97,20090813,2.95,2.95,2.95,2.95,-0.97%
98,20090812,2.979,2.979,2.979,2.979,-1.32%
99,20090811,3.019,3.019,3.019,3.019,1.89%
