Date,30,10,5,2,6m,3m
19940316,6.8,6.369,5.83,4.895,3.601,3.591
19940317,6.829,6.404,5.882,4.93,3.528,3.523
19940318,6.912,6.502,5.98,5.017,3.569,3.563
19940321,6.96,6.56,6.04,5.069,3.609,3.599
19940322,6.853,6.431,5.905,4.949,3.601,3.606
19940323,6.904,6.493,5.965,5.059,3.549,3.534
19940324,6.952,6.556,6.051,5.081,3.528,3.528
19940325,7.017,6.637,6.14,5.125,3.559,3.553
19940328,6.976,6.619,6.124,5.125,3.579,3.573
19940329,7.064,6.724,6.192,5.192,3.581,3.57
19940330,7.104,6.767,6.244,5.175,3.56,3.549
19940331,7.086,6.738,6.229,5.192,3.57,3.565
19940404,7.424,7.143,6.636,5.579,3.764,3.723
19940405,7.249,6.941,6.432,5.427,3.746,3.725
19940406,7.244,6.913,6.424,5.394,3.642,3.642
19940407,7.218,6.872,6.38,5.36,3.611,3.611
19940408,7.261,6.932,6.455,5.411,3.641,3.631
19940411,7.232,6.905,6.456,5.412,3.62,3.604
19940412,7.212,6.878,6.418,5.396,3.663,3.643
19940413,7.261,6.929,6.471,5.413,3.642,3.642
19940414,7.287,6.962,6.494,5.447,3.663,3.652
19940415,7.287,6.958,6.503,5.483,3.682,3.672
19940418,7.422,7.146,6.709,5.673,3.775,3.764
19940419,7.372,7.09,6.664,5.673,3.839,3.849
19940420,7.325,7.033,6.61,5.657,3.828,3.813
19940421,7.213,6.903,6.481,5.554,3.817,3.807
19940422,7.23,6.931,6.543,5.607,3.837,3.832
19940425,7.151,6.866,6.482,5.59,3.857,3.857
19940426,7.106,6.829,6.444,5.539,3.984,3.984
19940428,7.267,6.997,6.613,5.808,3.962,3.962
19940429,7.305,7.041,6.634,5.735,3.961,3.951
19940502,7.334,7.093,6.694,5.786,4.022,4.012
19940503,7.349,7.117,6.724,5.871,4.139,4.113
19940504,7.34,7.117,6.709,5.837,4.128,4.118
19940505,7.34,7.113,6.717,5.889,4.128,4.117
19940506,7.546,7.353,6.967,6.112,4.292,4.281
19940509,7.635,7.486,7.09,6.252,4.352,4.343
19940510,7.5,7.316,6.937,6.132,4.355,4.356
19940512,7.561,7.357,6.96,6.098,4.231,4.226
19940513,7.5,7.281,6.876,6.048,4.219,4.214
19940516,7.455,7.232,6.831,5.997,4.239,4.239
19940517,7.276,7.047,6.664,5.894,4.325,4.284
19940518,7.268,7.021,6.589,5.79,4.273,4.273
19940519,7.236,6.955,6.514,5.704,4.231,4.226
19940520,7.308,7.021,6.581,5.774,4.241,4.235
19940523,7.438,7.192,6.748,5.914,4.25,4.25
19940524,7.399,7.165,6.74,5.897,4.325,4.289
19940525,7.355,7.112,6.695,5.94,4.263,4.252
19940526,7.358,7.099,6.693,5.94,4.272,4.262
19940527,7.393,7.116,6.725,6.007,4.272,4.265
