Date,Close,Open,High,Low,Increase
2009年12月31日,0.061,0.061,0.061,0.061,41.86%
2009年12月30日,0.043,0.043,0.043,0.043,-57.43%
2009年12月29日,0.101,0.101,0.101,0.101,60.32%
2009年12月28日,0.063,0.063,0.063,0.063,31.25%
2009年12月24日,0.048,0.048,0.048,0.048,-27.27%
2009年12月23日,0.066,0.066,0.066,0.066,-13.16%
2009年12月22日,0.076,0.076,0.076,0.076,49.02%
2009年12月21日,0.051,0.051,0.051,0.051,10.87%
2009年12月18日,0.046,0.046,0.046,0.046,6.98%
2009年12月17日,0.043,0.043,0.043,0.043,4.88%
2009年12月16日,0.041,0.041,0.041,0.041,-10.87%
2009年12月15日,0.046,0.046,0.046,0.046,53.33%
2009年12月14日,0.03,0.03,0.03,0.03,20.00%
2009年12月11日,0.025,0.025,0.025,0.025,-10.71%
2009年12月10日,0.028,0.028,0.028,0.028,-15.15%
2009年12月9日,0.033,0.033,0.033,0.033,32.00%
2009年12月8日,0.025,0.025,0.025,0.025,8.70%
2009年12月7日,0.023,0.023,0.023,0.023,-54.90%
2009年12月4日,0.051,0.051,0.051,0.051,6.25%
2009年12月3日,0.048,0.048,0.048,0.048,4.35%
2009年12月2日,0.046,0.046,0.046,0.046,-17.86%
2009年12月1日,0.056,0.056,0.056,0.056,0.00%
2009年11月30日,0.056,0.028,0.058,0.025,100.00%
2009年11月27日,0.028,0.043,0.048,0.025,-39.13%
2009年11月25日,0.046,0.046,0.066,0.043,0.00%
2009年11月24日,0.046,0.041,0.086,0.041,84.00%
2009年11月23日,0.025,0.025,0.025,0.025,25.00%
2009年11月20日,0.02,0.02,0.02,0.02,0.00%
2009年11月19日,0.02,0.02,0.02,0.02,-33.33%
2009年11月18日,0.03,0.03,0.03,0.03,-52.38%
2009年11月17日,0.063,0.063,0.063,0.063,8.62%
2009年11月16日,0.058,0.058,0.058,0.058,-7.94%
2009年11月13日,0.063,0.063,0.063,0.063,0.00%
2009年11月12日,0.063,0.063,0.063,0.063,-4.55%
2009年11月10日,0.066,0.066,0.066,0.066,24.53%
2009年11月9日,0.053,0.053,0.053,0.053,-5.36%
2009年11月6日,0.056,0.056,0.056,0.056,36.59%
2009年11月5日,0.041,0.041,0.041,0.041,-19.61%
2009年11月4日,0.051,0.051,0.051,0.051,-3.77%
2009年11月3日,0.053,0.053,0.053,0.053,3.92%
2009年11月2日,0.051,0.051,0.051,0.051,0.00%
2009年10月30日,0.051,0.051,0.051,0.051,-12.07%
2009年10月29日,0.058,0.058,0.058,0.058,-18.31%
2009年10月28日,0.071,0.071,0.071,0.071,-6.58%
2009年10月27日,0.076,0.076,0.076,0.076,35.71%
2009年10月26日,0.056,0.056,0.056,0.056,-8.20%
2009年10月23日,0.061,0.061,0.061,0.061,15.09%
2009年10月22日,0.053,0.053,0.053,0.053,-25.35%
2009年10月21日,0.071,0.071,0.071,0.071,-15.48%
2009年10月20日,0.084,0.084,0.084,0.084,23.53%
2009年10月19日,0.068,0.068,0.068,0.068,3.03%
2009年10月16日,0.066,0.066,0.066,0.066,4.76%
2009年10月15日,0.063,0.063,0.063,0.063,3.28%
2009年10月14日,0.061,0.061,0.061,0.061,-7.58%
