Date,Close,Open,High,Low,Increase
2009年12月31日,2.684,2.684,2.684,2.684,2.52%
2009年12月30日,2.618,2.618,2.618,2.618,1.79%
2009年12月29日,2.572,2.572,2.572,2.572,-1.11%
2009年12月28日,2.601,2.601,2.601,2.601,2.44%
2009年12月24日,2.539,2.539,2.539,2.539,2.21%
2009年12月23日,2.484,2.484,2.484,2.484,0.53%
2009年12月22日,2.471,2.471,2.471,2.471,3.04%
2009年12月21日,2.398,2.398,2.398,2.398,5.27%
2009年12月18日,2.278,2.278,2.278,2.278,2.75%
2009年12月17日,2.217,2.217,2.217,2.217,-5.18%
2009年12月16日,2.338,2.338,2.338,2.338,0.30%
2009年12月15日,2.331,2.331,2.331,2.331,1.66%
2009年12月14日,2.293,2.293,2.293,2.293,1.73%
2009年12月11日,2.254,2.254,2.254,2.254,2.92%
2009年12月10日,2.19,2.19,2.19,2.19,2.24%
2009年12月9日,2.142,2.142,2.142,2.142,1.42%
2009年12月8日,2.112,2.112,2.112,2.112,-2.90%
2009年12月7日,2.175,2.175,2.175,2.175,-3.25%
2009年12月4日,2.248,2.248,2.248,2.248,5.79%
2009年12月3日,2.125,2.125,2.125,2.125,1.97%
2009年12月2日,2.084,2.084,2.084,2.084,2.31%
2009年12月1日,2.037,2.037,2.037,2.037,1.70%
2009年11月30日,2.003,2.003,2.003,2.003,-1.52%
2009年11月27日,2.034,2.034,2.034,2.034,-3.56%
2009年11月25日,2.109,2.109,2.109,2.109,0.81%
2009年11月24日,2.092,2.092,2.092,2.092,-3.68%
2009年11月23日,2.172,2.172,2.172,2.172,-0.37%
2009年11月20日,2.18,2.18,2.18,2.18,1.30%
2009年11月19日,2.152,2.152,2.152,2.152,-2.05%
2009年11月18日,2.197,2.197,2.197,2.197,1.38%
2009年11月17日,2.167,2.167,2.167,2.167,-1.23%
2009年11月16日,2.194,2.194,2.194,2.194,-2.66%
2009年11月13日,2.254,2.254,2.254,2.254,0.00%
2009年11月12日,2.254,2.254,2.254,2.254,-1.79%
2009年11月10日,2.295,2.295,2.295,2.295,0.00%
2009年11月9日,2.295,2.295,2.295,2.295,-0.22%
2009年11月6日,2.3,2.3,2.3,2.3,-1.54%
2009年11月5日,2.336,2.336,2.336,2.336,-1.64%
2009年11月4日,2.375,2.375,2.375,2.375,0.98%
2009年11月3日,2.352,2.352,2.352,2.352,0.60%
2009年11月2日,2.338,2.338,2.338,2.338,1.08%
2009年10月30日,2.313,2.313,2.313,2.313,-5.28%
2009年10月29日,2.442,2.442,2.442,2.442,4.54%
2009年10月28日,2.336,2.336,2.336,2.336,-1.68%
2009年10月27日,2.376,2.376,2.376,2.376,-4.96%
2009年10月26日,2.5,2.5,2.5,2.5,2.08%
2009年10月23日,2.449,2.449,2.449,2.449,3.77%
2009年10月22日,2.36,2.36,2.36,2.36,0.60%
2009年10月21日,2.346,2.346,2.346,2.346,2.58%
2009年10月20日,2.287,2.287,2.287,2.287,-2.51%
2009年10月19日,2.346,2.346,2.346,2.346,-0.09%
2009年10月16日,2.348,2.348,2.348,2.348,-1.47%
2009年10月15日,2.383,2.383,2.383,2.383,2.01%
2009年10月14日,2.336,2.336,2.336,2.336,2.19%
2009年10月13日,2.286,2.286,2.286,2.286,-2.76%
2009年10月9日,2.351,2.351,2.351,2.351,5.85%
2009年10月8日,2.221,2.221,2.221,2.221,2.40%
2009年10月7日,2.169,2.169,2.169,2.169,-3.26%
2009年10月6日,2.242,2.242,2.242,2.242,1.59%
2009年10月5日,2.207,2.207,2.207,2.207,0.09%
2009年10月2日,2.205,2.205,2.205,2.205,0.96%
2009年10月1日,2.184,2.184,2.184,2.184,-5.58%
2009年9月30日,2.313,2.313,2.313,2.313,-1.28%
2009年9月29日,2.343,2.343,2.343,2.343,0.56%
2009年9月28日,2.33,2.33,2.33,2.33,-1.56%
2009年9月25日,2.367,2.367,2.367,2.367,-0.13%
2009年9月24日,2.37,2.37,2.37,2.37,0.00%
2009年9月23日,2.37,2.37,2.37,2.37,-1.86%
2009年9月22日,2.415,2.415,2.415,2.415,-1.55%
2009年9月21日,2.453,2.453,2.453,2.453,-0.20%
2009年9月18日,2.458,2.458,2.458,2.458,3.89%
2009年9月17日,2.366,2.366,2.366,2.366,-3.39%
2009年9月16日,2.449,2.449,2.449,2.449,2.38%
2009年9月15日,2.392,2.392,2.392,2.392,1.10%
2009年9月14日,2.366,2.366,2.366,2.366,2.82%
2009年9月11日,2.301,2.301,2.301,2.301,0.66%
2009年9月10日,2.286,2.286,2.286,2.286,-3.63%
2009年9月9日,2.372,2.372,2.372,2.372,-0.84%
2009年9月8日,2.392,2.392,2.392,2.392,1.44%
2009年9月4日,2.358,2.358,2.358,2.358,2.66%
2009年9月3日,2.297,2.297,2.297,2.297,1.50%
2009年9月2日,2.263,2.263,2.263,2.263,-2.54%
2009年9月1日,2.322,2.322,2.322,2.322,-2.72%
2009年8月31日,2.387,2.387,2.387,2.387,-2.57%
2009年8月28日,2.45,2.45,2.45,2.45,-1.29%
2009年8月27日,2.482,2.482,2.482,2.482,1.64%
2009年8月26日,2.442,2.442,2.442,2.442,0.00%
2009年8月25日,2.442,2.442,2.442,2.442,-1.49%
2009年8月24日,2.479,2.479,2.479,2.479,-3.35%
2009年8月21日,2.565,2.565,2.565,2.565,6.61%
2009年8月20日,2.406,2.406,2.406,2.406,-0.41%
2009年8月19日,2.416,2.416,2.416,2.416,-1.71%
2009年8月18日,2.458,2.458,2.458,2.458,1.86%
2009年8月17日,2.413,2.413,2.413,2.413,-3.67%
2009年8月14日,2.505,2.505,2.505,2.505,-2.30%
2009年8月13日,2.564,2.564,2.564,2.564,-4.01%
2009年8月12日,2.671,2.671,2.671,2.671,0.07%
2009年8月11日,2.669,2.669,2.669,2.669,-2.70%
2009年8月10日,2.743,2.743,2.743,2.743,-2.83%
2009年8月7日,2.823,2.823,2.823,2.823,4.21%
2009年8月6日,2.709,2.709,2.709,2.709,-0.77%
2009年8月5日,2.73,2.73,2.73,2.73,1.26%
2009年8月4日,2.696,2.696,2.696,2.696,1.35%
2009年8月3日,2.66,2.66,2.66,2.66,5.72%
2009年7月31日,2.516,2.516,2.516,2.516,-4.44%
2009年7月30日,2.633,2.633,2.633,2.633,-0.15%
2009年7月29日,2.637,2.637,2.637,2.637,1.31%
2009年7月28日,2.603,2.603,2.603,2.603,0.54%
2009年7月27日,2.589,2.589,2.589,2.589,2.33%
2009年7月24日,2.53,2.53,2.53,2.53,-0.32%
2009年7月23日,2.538,2.538,2.538,2.538,5.97%
2009年7月22日,2.395,2.395,2.395,2.395,2.48%
2009年7月21日,2.337,2.337,2.337,2.337,-4.92%
2009年7月20日,2.458,2.458,2.458,2.458,-1.88%
2009年7月17日,2.505,2.505,2.505,2.505,2.20%
2009年7月16日,2.451,2.451,2.451,2.451,-2.62%
2009年7月15日,2.517,2.517,2.517,2.517,6.83%
